q_id,question,choice0,choice1,choice2,choice3,choice4,label
8970,表示被错误地理解的是哪一个？,误解,更年期,死,梦,谎言,0
8971,为了交通工具安全而存在的职业是？,豆腐,纸箱,西装,维修技师,大豆,3
8972,把信息从一个人传给另一个人叫什么？,翻新,研究,传达,调查,机器,2
8973,下面哪一个是铜管乐器？,小号,玻璃,梅比乌斯,金属,设计,0
8974,主要在河里能看到的是？,人,数字,狗,浮木,游客,3
8975,用来装葡萄酒的是？,草莓,热咖啡,纸屑彩带,高脚杯,芒果,3
8976,美国的首都是？,拓荒精神,华盛顿,钻石,芒果,合众国,1
8977,下面哪一个是卡比的复制能力中存在的？,光,晚饭,水,罐头,动物,4
8978,街上那种什么都卖的店叫什么？,会合,休息室,超市,餐馆,书店,2
8979,“花之都”是指哪里？,美国,意大利,智利,国家,巴黎,4
8980,在水中等让身体浮起来时使用的工具是什么？,救生圈,泳衣,小船,游泳,海水,0
8981,把明信片送来的地方是哪里？,邮局,电波,汽车,自行车,派出所,0
8982,对卖东西的地方的总称是？,药店,超市,商店,投币自助洗衣店,百货商店,2
8983,不吞下去，只是咀嚼来享受香味和味道、有弹性的点心是什么？,毒品,棉花糖,口香糖,年糕,替代品,2
8984,在中国辽东半岛到朝鲜半岛一带出产的人参是？,朝鲜人参,茄子,朝鲜语,朝鲜,南瓜,0
8985,把东西冷却的装置叫什么？,桌游,冷冻,冷藏,灰尘,冷却装置,4
8986,用来把冷的东西加热的是？,蔬菜店,微波炉,冰箱,收获,冷冻柜,1
8987,做了坏事的人被关押的地方是哪里？,地牢,旅馆,自家,学校,鬼屋,0
8988,穿在身上的东西是？,筷子,剪刀,欧洲,鞋,意大利,3
8989,心情被扰乱的样子叫什么？,紊乱,佩服,动摇,破坏,理解,2
8990,对议事堂的印象是？,象征国家,主题公园,游乐设施,让心情高涨,摇动,0
8991,研究19到20世纪以后技术等的领域是？,近世科学,文明科学,近代科学,大气科学,法则科学,2
8992,不用语言与对方交流、夸张地摆动手脚来传达意思的方式叫什么？,机敏,引导,反应,肢体动作,导盲犬,3
8993,故意对他人造成伤害叫什么？,人口贩卖,强奸,人身攻击,杀人,人身事故,2
8994,会吱吱叫的动物是？,仓鼠,蛇,臭鼬,大盐湖,老鼠,4
8995,用电脑进行打印的是哪一个？,无线网,网络,打字,蜡烛,打印机,4
8996,举行弥撒的地方是哪里？,寺庙,修道院,神社,大楼,厨房,1
8997,肉的边缘部分是？,红绿灯,脂肪,食物,牛排,天津饭,1
8998,说到“早晨套餐（Morning Service）”会想到哪里？,市场,咖啡馆,荞麦面馆,镇公所,拉面店,1
8999,生活在寒冷地区、不会飞的鸟叫什么？,天鹅,猴子,企鹅,冻土,寒冷,2
9000,下面哪一个是汉字的部首之一？,木,草坪,学,有,炉,0
9001,表示要消除在社会角色等方面基于性别的固定观念这一想法的词语是？,性别差距,性别验证,性别偏见,性别平等（Gender-free）,性别收缩,3
9002,“睡觉”用什么说法？,闭上眼睛,睡眠,吃饭,旅行,唱歌,1
9003,把花分开来开的是？,分开开花,樱花,花,花开,华丽的花,0
9004,不是生病的状态是？,平稳,健康,正常,活着,获得食物的事,1
9005,用钢筋混凝土建成、里面有办公室等的高层建筑是？,公寓,地下街,地铁,图书馆,大楼,4
9006,与伊朗打过仗的国家是？,伊拉克,厨房,马达,浴室,印度,0
9007,在美利坚合众国中，迈阿密所在的州是？,加利福尼亚,波士顿,休斯敦,佛罗里达,华盛顿,3
9008,小岛的聚集是？,信号灯,天津饭,马绍尔群岛,东南亚,关东,2
9009,水会变成什么？,擦汗这件事,水蒸气,头巾,兴奋,毛巾,1
9010,可以轻松制作复杂立体物的机器是什么？,信号灯,大人,3D打印机,天津饭,教室,2
9011,作为啤酒下酒菜的是什么豆？,收音机,黄鼠狼,枝,电视,蛇,2
9012,不是生物的交通工具是？,孩子,冰,报告,自行车,马,3
9013,身着西装的男女参加自己希望从事行业的说明活动是？,公司参观,公司说明会,雨,风,履历表,1
9014,为了变漂亮而做的事情是？,袋子,手术,口罩,化妆,垫子,3
9015,把桌子、衣柜等合在一起叫什么？,玄关,阁楼,家具,卧室,厨房,2
9016,由特定生产者生产的商品，叫什么？,制造业,品牌,制造商,镜子,香水,1
9017,在舞蹈中，说到“Mixer（混合舞）”是指？,生物,海边,俄克拉何马,动物,公园,2
9018,把原材料加工过的东西是？,食品,摆件,制品,菜刀,原料,2
9019,在国会、市、县、镇里都有的东西是什么？,班级委员,杯子,首相,队长,议员,4
9020,长在田埂等地方的东西是？,熊,牧草地,野草,路标,毛,2
9021,横纲入场时一起出场的力士叫什么？,有钱人,豆腐,送外卖的人,持太刀力士,大豆,3
9022,哪一个是活动（事件）？,祭典,银行,便利店,小零食店,医院,0
9023,乘坐带有旋翼的交通工具在空中移动叫什么？,游泳,驾驶,驾驶直升机飞行,登山,信号灯,2
9024,一生的中途是什么？,途中,一半,半生,生命,叹息,2
9025,哪一个是动物？,白鹭,蜻蜓,蝴蝶,白州（地名）,白魔法,0
9026,小便的地方是哪里？,厨房,训练器械,卧室,厕所,举重选手,3
9027,吃东西、咀嚼时使用的身体部位是？,耳朵,牙齿,眼睛,假牙,病历卡,1
9028,哪一个是高楼？,邮局,公园,繁华街,高层建筑,剧场,3
9029,把外汇称为什么？,汇银,外汇,钱,虚拟货币,汇汇,1
9030,最初的季节是？,春天,秋天,公园,祭典,夏天,0
9031,水面之上叫什么？,白宫,海里,西部,天空之上,水面上,4
9032,用元素符号H2O表示的是什么？,纸币,二氧化碳,水,氢,桌布,2
9033,“好”的反义词是？,不好,危险,开心,坏,糟糕,3
9034,“心脏”用英语怎么说？,陶器,尼特族,小提琴,热,心（heart）,4
9035,进行股票交易的场所是？,商店,百货商店,学校,医院,市场,4
9036,以马丘比丘闻名的南美国家是哪里？,大豆,红海,秘鲁,豆腐,伊斯兰,2
9037,既能装着冰淇淋又能吃掉的容器是？,蛋筒,沙漠,生茶,主人,碗,0
9038,小的区域是？,火车站,街道,大街,都道府县,国家,1
9039,是哪种乐器？,教皇,风琴,达摩,人物像,肖像,1
9040,哪一个是用来避邪、消灾的护身符？,重藤弓,念珠,破魔弓,半弓,念力,2
9041,哪一种是山梨产的梅？,梅重叠纹样,伊势,纪州,甲州梅,梅割酒,3
9042,正在建房子等建筑物的地方叫什么？,建筑工地,校园操场,河,工厂,杂物间,0
9043,为了让国外的人更容易理解而使用的标记方式是？,名词,意大利,德语,日语,罗马字,4
9044,擅长做东西的人，哪儿很灵巧？,脚,人体,手,胸,肌肉,2
9045,哪一种可以加工后做成衣服？,冰,布料,架子,吉他,空气,1
9046,分解酒精的是？,神经,胃,小肠,肾脏,肝脏,4
9047,哪一个是化学的以及人工制造的东西？,药剂,森林,坚果,树,鲱鱼,0
9048,从事农业的土地叫什么？,海,桥,商店,农田,公园,3
9049,哪一个是身体的一部分？,鼻子,声音,假发,熊,公园,0
9050,穿在两只脚上的东西是？,小物件,人,内衣,鞋子,扫帚,3
9051,长笛们聚在一起的团体是？,学会,音乐学校,教会,管弦乐团,烤肉店,3
9052,把“neibor”翻译过来是？,新的,近郊,劳动,佛罗里达州,葬礼,1
9053,随着年龄增长出现在脸上、让人烦恼的东西是什么？,身高,成果,皱纹,进步,成绩,2
9054,去旅行要用到的是？,行李箱,体操,马拉松,笑,软饮料,0
9055,表示前屈姿势的说法是？,弯腰向前,公民馆,起身,走路,起床,0
9056,把“country”翻译成日语是？,太平洋,大西洋,海峡,大洋洲,国家,4
9057,蝙蝠会在什么地方？,岩洞,大豆,豆腐,山腰,半山腰,0
9058,上衣的脖子周围部分是？,领带,纽扣,衣领,袖扣,袖口,2
9059,车里的座位叫什么？,司机,沙发,座椅,轮胎,长椅,2
9060,像报刊亭那样的形态叫什么？,百货商店,天津饭,车站的小卖部,商店,信号灯,2
9061,钥匙叫什么？,桌子,开关,钥匙,贝壳,玩具,2
9062,看不见但一定在周围的东西是什么？,底部,空气,水,木板,深呼吸,1
9063,在便利店的柜台可以买到的是？,人类,店员,经理,收银台,热咖啡,4
9064,偶尔还会发布注意报、伴随突风旋转并把房屋等摧毁的东西是？,龙卷风,积木,闪电,领导,足球,0
9065,哪一个是食物？,书,手,铅笔盒,布,食品,4
9066,学习时坐在椅子上面对的地方是？,手推车,厨房,书桌,包,桌面上,2
9067,作为内衣穿的裤子是？,木匠,棉花糖,小零食,秋裤,美容师,3
9068,表示女性的词语是？,水,丈夫,垫子,妇女,人,3
9069,掌管国家运作的机关叫什么？,幼儿园,国家,学校,国旗,太阳,1
9070,给燃料加注的地方是？,咖喱店,加油站,图表,汽车用品店,住宅,1
9071,把形状各异的拼块拼在一起完成一幅图画的东西叫什么？,溜溜球,飞行棋,桌游,扑克牌,拼图,4
9072,铺在餐桌上的东西是？,空姐,桌布,酱油,安全带,盐,1
9073,可以用电烧开热水的是？,肚脐,电热水壶,钛,推杆,冰箱,1
9074,议员人数为465人的国会议院是？,众议院,参议院,贵族院,城市,民主党,0
9075,东京的鱼类批发市场以前使用的地点名称是？,海边附近,函馆,筑地,豆腐,大豆,2
9076,下面哪个词表示不想碰触的样子？,漂亮,无聊,熊猫,脏,考拉,3
9077,让身体变干净的地方是？,超市,饭馆,情人旅馆,浴室,桑拿,3
9078,说到“花都”是指哪里？,道路,巴黎,日内瓦,财产,多伦多,1
9079,用什么来擦掉用铅笔写的错误？,消防员,橡皮,刺客,黑板擦,黑暗,1
9080,带有暴力意味的词是？,前卫,悬疑,种族主义,坠落,暴力,4
9081,“お正月”用另一种说法怎么说？,岁末,元旦,压岁钱,年末,贺年片,1
9082,表示“店铺”意思的单词是哪一个？,乡村,城市,银行,修理铺,商店,4
9083,朝鲜民主主义人民共和国的通称是？,朝鲜人参,朝鲜语,北朝鲜,韩国,中国,2
9084,过河时乘坐的东西是什么？,水手,小船,汽车,水母,自行车,1
9085,表示比对方有利的状态，或者遛狗时给狗戴上的东西，叫什么？,遛狗绳,牵引绳,优势,手势,导盲犬,1
9086,法国人经常休得很久的是什么？,会议,期待,假期,荞麦面,天,2
9087,由波浪或风搬运砂等堆积而成的水与陆地的交界区域是？,人,数,车站,沙滩,铁轨,3
9088,消除争斗是什么？,和平,爱国心,交易,兵器,战争,0
9089,在某个事象B发生这一条件下，另一个事象A的概率称为什么？,戳,啃咬,打击率,条件表达式,平均值,3
9090,借出的金钱变得无法回收称为什么？,讨债,破产,随从,无处下手,呆账,4
9091,铺在地板上的东西是？,妇人,宠物,水,垫子,游艇,3
9092,进行健康的饮食和运动后，身体会怎样？,变得健康,变得有印象,保持有精神,长寿,没什么特别变化,0
9093,把咖喱浇在米饭上的食物叫什么？,天丼,亲子丼,咖喱盖饭,牛丼,大碗,2
9094,哪一个是原子核？,村庄,肉,我,边界线,中子,4
9095,各种东西都在卖的地方是？,餐厅,卧室,咖啡馆,店,架子,3
9096,和丈夫相对的是？,奥义,妻子,努力,深入里面,经营,1
9097,啃咬树木的动物是？,尘埃,猪,狗,经典,海狸,4
9098,用来存储记忆的是？,芯片,鼠标,胃,内存,连赢马票,3
9099,用制图板进行的事情是什么？,画图,跳舞,做笔记,写字,看,0
9100,哪一个是人体的部位？,厨房,万,教堂,大脑,会场,3
9101,哪种东西可以把食材等切成各种大小？,冰箱,在家上学,菜刀,砧板,搅拌机,2
9102,曾经存在的、新教循道宗系的基督教信徒团体叫什么？,印度教,福音主义,福音教会,福音书,天主教,2
9103,哪种交通工具可以移动得更快？,三轮车,客厅里,汽车,隧道,自行车,2
9104,建筑物内的小地方是？,陆军,浴室,小房间,厕所,战争,2
9105,夜空中能看到的最大的是哪一个？,黑洞,星星,天道,月亮,飞机,3
9106,成为掌管政治的高官叫什么？,当大臣,权力,被贬职,钱,当横纲,0
9107,一整块的黄金叫什么？,钱,纸币,银行,金块,首饰,3
9108,垫在杯子下面的东西是什么？,剪刀,筷子,杯垫,留言卡,玩具,2
9109,“店”用英语怎么说？,shop,dresser,garage,stage,衣橱,0
9110,盛放料理时会用到的是哪一个？,盘子,平底锅,玻璃杯,杯子,信封,0
9111,地球表面广阔的一片蓄满水的部分叫什么？,岩石地带,队列,海,地面,昆虫,2
9112,太阳和月亮出现的地方是？,田地,深海,地下,天空,地面,3
9113,哪一个是肺部的疾病？,喉咙不适,电子支付,现金,肺癌,烟,3
9114,什么是复合文化设施？,广场,地区,市政府,市民中心,球场,3
9115,生产随身听的公司是哪家？,索尼,丰田,本田,大日本帝国宪法,三菱电机,0
9116,在做某事之前事先要做的是什么？,雨,做准备,上床睡觉,小便,风,1
9117,主要在睡眠中，意识清醒却无法活动身体的症状叫什么？,鬼压床,砂金,金泽,打哈欠,步行,0
9118,搜查二课的负责对象是？,杀人,阴谋,诈骗罪,强奸妇女,闯红灯,2
9119,用来证明已经掌握交通规则和驾驶技术的资格是什么？,机动车驾驶证,视力检查,身体检查,上学,参加期末考试,0
9120,盛开的梅花凋落的样子叫什么？,落地种子,落樱,垂枝梅,落梅,花絮,3
9121,用来收纳衣物的是？,车库,剧场,衣橱,公园,游泳池,2
9122,通货、货币叫什么？,钱,当大臣,权力,铁球,纸,0
9123,对年长的女性兄弟姐妹的尊称是？,堂兄弟,沙龙,姐姐大人,堂姐妹,吧台,2
9124,道路上有盖子的洞叫什么？,横穿,信号灯,随机行凶,隧道,井盖,4
9125,表示有好感的是哪一个？,不可能,是的,如此这般,不可能有那种事,有好感,4
9126,拥有领土、人民和自治权的是？,蚱蜢,巴黎,大臣,意大利,国家,4
9127,英语中的 house 指的是哪种场所？,百货商店,家,公园,公寓,教堂,1
9128,不是轻易就能解决的问题是？,不用解,错误,难题,家庭,忘掉,2
9129,单一企业统一经营多个领域的专卖店，并将这些专卖店集中在面积较大的大型店铺中，陈列销售多种商品的零售店的总称叫什么？,信号灯,路缘石,塔,天津饭,百货商店,4
9130,由于过量摄取而引起的症状是？,尼古丁中毒,肺炎,“知识”,香烟,“教养”,0
9131,铁路的停车场所，使列车停靠并办理旅客、货物业务的地方是？,筷子,铁轨,剪刀,车站,沙滩,3
9132,在墙等地方做的收纳空间叫什么？,森林,房间,阁楼,架子,公交车,3
9133,在佛龛前诵念的是什么？,祖先,经文,蜡烛,吊钟,线香,1
9134,学生用来装教科书的东西是？,车,教室,袋子,书包,铅笔盒,3
9135,城市的反义词是？,乡下,森林,草津,雪山,神奈川,0
9136,让狗回到狗窝的口令叫什么？,厨房,回窝（house）,睡觉,背包,铅笔,1
9137,论述事物的是非曲直，发表主张并加以解说，这叫什么？,论说,上课,就诊,广告,社会版,0
9138,首都是北京的国家是哪里？,香港,黑龙江省,黑龙江,美国,中国,4
9139,在发生什么问题等情况时使用的是？,猫,狗,紧急出口,厕所,绿色车厢,2
9140,香喷喷的茶是？,运动饮料,辣味虾仁,虾茶,咖啡,虾尾巴,2
9141,大家聚在一起叫什么？,会合,超市,休息室,百货商店,会议室,0
9142,每周发行的书刊是？,童话,周刊,文书,月刊,故事,1
9143,收拾盘子放到的地方是？,衣橱,架子,器具,塑料,讲台,1
9144,卖蔬菜和水果的地方是？,咖啡馆,书店,蔬果店,邮局,礼拜堂,2
9145,通过网络连接的是？,邮件,网上冲浪,信,钟表,互联网,4
9146,为老年生活而积攒的是哪一个？,购物,打扫,做饭,存钱,坐电车,3
9147,这之中表示地表内部意思的词是哪个？,河,地下,猫,山谷里的河,狗,1
9148,被称为稀土的是哪种元素？,人工元素,铂族元素,稀土类元素,过渡元素,金属元素,2
9149,生物活动的力量是什么？,动力,半生,电力,生命,叹息,3
9150,哪一个是行政区划？,俄亥俄,法院,街坊,郡,内阁,3
9151,在雪山上滑行的运动是？,骑马,爬山,滑雪,足球,棒球,2
9152,家人一起放松的房间叫什么？,厕所,浴室,波斯,起居室,卧室,3
9153,软绵绵、飘飘的的是？,溶解,笑,漂浮,混合,生气,2
9154,最尊贵的信徒是？,乞丐,教皇,信徒,平民,礼拜堂,1
9155,英语中说 airport 是指？,建筑物,机场,栋,车站,停车场,1
9156,用声音和词语产生音乐性声音的行为是？,占卜,咒语,歌唱,小号,乐队,2
9157,装啤酒的容器是？,日本,壶,瓶子,盖子,水壶,2
9158,举行入学典礼、入职典礼的月份是？,后背,蜜月,计算器,早苗月,四月,4
9159,剧场最前排的座位叫什么？,前排座,紧贴,优先,有条件采录,最前面,0
9160,有时会用于枪里的东西是？,天气,云,雪,空气,水,3
9161,大学生为了进一步学习而进入研究室等，这样被称作什么？,狗,研究生,临时工作,猫,书库,1
9162,哪一个可以做肥料？,木匠,美容师,牛粪,马车,昆虫,2
9163,是谁在掌管店铺？,命令,鼠标垫,队长,老板,经理,4
9164,用来放入并装饰照片等的东西是？,宇宙,画框,袋子,盒子,存钱,1
9165,要削的是哪一个？,钢笔,电视,电脑,便签纸,铅笔,4
9166,想要排泄时会去的地方是哪里？,绿色车厢,紧急出口,厕所,猫,狗,2
9167,在占领地或殖民地中的最高指挥官叫什么？,风车,班长,学生会,主管,总督,4
9168,顶端叫什么？,豆腐,热度,顶峰,阳光照射,大豆,2
9169,被投资者有意操纵的股票叫什么？,坐庄股,尼亚加拉,卖空,坐庄柱,坐庄行情,0
9170,在芬兰、丹麦、加利福尼亚州等地实施的，根据所含碳的数量或比例，对石油、天然气等征收的税叫什么？,二氧化碳,消费税,碳税,所得税,碳14法,2
9171,买东西的地方是？,书店,报纸,温泉,河滩,图书馆,0
9172,哪一个是国家？,大海,日野,日本,地面,日比谷,2
9173,从摇篮到坟墓的漫长路程叫什么？,标记,高速公路,学问,人生,胜利之路,3
9174,在厕所里用什么擦屁股？,水,猫,椅子,纸,手,3
9175,把明信片放进邮筒寄出，这个行为叫什么？,邮寄,书桌,传真,电子邮件,文件柜,0
9176,在听众面前就某件事进行讲话的人是？,说话者,猫,看热闹的人,狗,演讲者,4
9177,储存葡萄酒的地方是？,酒窖,电风扇,冰盒,冷冻室,烘干机,0
9178,把两个东西粘在一起的是？,营业,船,炎症,钻头,胶水,4
9179,在法国被用来表示单间公寓、一般作为照片或影像等拍摄录制用途的设施叫什么？,画展,电影院,房间,列车,摄影棚,4
9180,人类主要用于排泄大小便的器具，古时候多为可移动式或室外设施，近年以陶瓷制品为主，已成为住宅设备部件之一的是？,房间,便器,别墅,浴缸,店员,1
9181,柑橘类的代表性水果是？,苹果,草莓,植物,橘子,芒果,3
9182,哪一个是交通工具？,科长,坟墓,藻类,渔船,船员,3
9183,做饭、烹饪食物的地方是？,自家,厨房,角落,公寓,公寓大楼,1
9184,会感到反胃、恶心的是？,压力,喷嚏,心脏,发烧,肝脏,0
9185,经营家用电器产品的零售店叫什么？,量贩店,现在,超市,百货商店,电器店,4
9186,鞋子或袋子上用来系起来的东西是什么？,朋友,腰带,领带,绳子,电话簿,3
9187,同一所学校或同一职场的人一起生活的地方是？,画室,公寓大楼,宿舍,公寓,抽屉,2
9188,构成物体外侧的那一面叫什么？,平面,对面,身体,表面,脸面,3
9189,打棒球的地方是？,音乐教室,乐队,棒球场,教室,道路,2
9190,夏天常配着毛豆下酒喝的、会起泡的饮料是？,啤酒,烧酒,葡萄酒,客厅,衣橱,0
9191,从树上枯萎后掉下来的东西是什么？,大豆,苔藓,豆腐,霜,落叶,4
9192,用文字寄送的邮便是？,传真,接待员,信纸,明信片,纸箱,2
9193,在海里潜水的人是？,比基尼,眼镜,正在潜水的人,擦汗巾,花,2
9194,喝得太多会中毒的是？,天津饭,红绿灯,痛风,酒精,喝太多,3
9195,与俄罗斯接壤的是？,内蒙古,布拉马普特拉河,蒙贝尔,甘肃,蒙托亚,0
9196,属于犬科犬属的哺乳动物是？,蜱虫,猫,狗,松鼠,丈夫,2
9197,哪一个是海外？,市内,东京,奥地利,专有名词,大阪,2
9198,学习的地方是？,地铁,学校,厕所,前面,浴室,1
9199,从田地里收进农作物叫什么？,破坏自然,收获,插秧,砍伐,浇水,1
9200,“下町”用英语怎么说？,大楼,商业街,市中心（downtown）,草莓,芒果,2
9201,事先要做的事情？,开始,修正,做准备,结束,预先准备,2
9202,实验中使用的工具是？,笔记本,黑板,烧瓶,粉笔,白板,2
9203,也用于比赛的交通工具是？,香蕉船,豪华客轮,摩托艇,游艇,湖,3
9204,看到苹果落下而得到“万有引力定律”启发的是谁？,巴赫,哈佛,研究室,牛顿,科搜研,3
9205,曾经播放タモリ先生中午节目的是哪里？,ALTA大楼,富士山,赤坂王子酒店,东京塔,五金店,0
9206,会去礼拜的是？,游乐园,幽灵,幼儿园,坟墓,木鱼,3
9207,把东西收入保管场所叫什么？,入库,更换,驶入,推进,清洗,0
9208,在电脑上按按钮进行输入的设备是？,风琴,飞机,键盘,长笛,汽车,2
9209,“運動”用英语怎么说？,足球,体育（sport）,玩耍,慢跑,游泳,1
9210,通过欺骗夺取金钱的是？,诈骗,有罪,小偷,加害者,犯人,0
9211,“そもそも”“从一开始”可以换句话说成？,本来,发髻绳,的确,终于,批发商,0
9212,衣服的一部分，用来放些小东西的地方是？,车厢,家,不满,口袋,丝瓜,3
9213,把声音变成电信号，传到远处，再把它还原成声音，从而能相互通话的通信方式叫什么？,朋友,莫尔斯电码,日志,电话,演讲,3
9214,落语家的名字是？,古今节,古今类句,古今店,古今亭,旧报纸,3
9215,为了保护汽车免受风雨和阳光等侵害而建造的建筑物是什么？,树,办公楼,自行车停车场,停车场,车库,4
9216,指活动身体的竞技项目的是？,学习,教育委员会,学校,睡眠,体育运动,4
9217,“小道具”的反义词是？,大道具,无用物品,家,处理品,专家,0
9218,收集成熟的农作物叫做什么？,收获,播种,插秧,冰箱,锅,0
9219,吃食物叫做什么？,吃饭,捕获,听音乐,咬,起床,0
9220,桌子、台子的别称是？,椅子,清单,梯子,桌,器皿,3
9221,带负电荷的电子是？,基本粒子,阴电子,原子,分子,质子,1
9222,贴在笔记本等上面玩的东西是？,镇纸,和纸,贴纸,毛笔,辞典,2
9223,在巢箱里饲养，蜂王浆等也被视为珍品的是什么？,蜜蜂,水蜜桃,风,忍辱波罗蜜,雨,0
9224,如果不想服从体制该怎么办？,反政府,非政府组织,空气,方便,军政府,0
9225,我住的地方是？,家,书店,天空,地下室,防空洞,0
9226,日本的首都是哪一个？,派出所,福冈,东京,大阪,巡逻,2
9227,在基督教中，用来进行礼拜的建筑是哪一个？,音乐厅,礼拜堂,婚礼会场,猫房,结婚,1
9228,这之中哪一个是工具？,钳子,工具,意大利面,子弹,筷子,0
9229,说到业余体育的盛会，是哪种大会？,马拉松,奥运会,县级比赛,欧洲,国体,1
9230,Mac OS 附带的桌面附件中，用于文本输入的是哪一个？,电视,绘画,收音机,记事本,朋友,3
9231,哪一个是载人飞行的？,鸡,气球,扫帚,鸟,飞机,4
9232,大量树木聚集的地方叫什么？,阁楼,图书券,图书馆,书架,森林,4
9233,在将长篇影片投射到银幕上时，男性出演者叫什么？,新闻片,道路,无声电影,车站,电影演员,4
9234,哆啦A梦睡觉的地方是？,壁橱,仓房,车厢,家庭,水泥管,0
9235,在建筑物或会场等的入口处，询问来访或前来集合者的姓名和事由并进行转达，以及做其他安排的地方或那个人叫什么？,接待处,机房,审议会,委员会,警卫,0
9236,为了通过某个考试而进行挑战的行为是什么？,调查,应试,卯,青梅竹马,合格,1
9237,围棋盘或将棋盘等的上面叫什么？,盘上,风,雨,后妻,长进,0
9238,表示让自身质量变轻的是哪一个？,跳绳,散步,减轻体重,运动,出汗,2
9239,织田信长军和今川义元军交战的地点是哪里？,桶屋,江户,桶榨,桶狭间,三河,3
9240,过去常用来捆绑罪人等人的东西是？,绳子,粗绳,细绳,线,捻绳,0
9241,要换衣服的是哪一个？,站起来,换衣服,打扫卫生,小便,洗手,1
9242,请选择片假名写的词？,蔬菜,超市,食品店,百货店,酒铺,1
9243,和式房间里，用来隔开房间和房间的东西是什么？,窗帘,榻榻米,坐垫,隔断,拉门,4
9244,西式的起居室叫什么？,客厅（Living room）,钻石,草莓,以下,里间,0
9245,“ジャンプ”的日语是？,跳,切,有外骨骼,有翅膀,流,0
9246,在东京的那座红色塔叫什么？,皇居,东京巨蛋,晴空塔,通天阁,东京塔,4
9247,雨过天晴时，在与太阳相反方向出现的彩色光环叫什么？,月亮,宇宙,彩虹,结晶,瀑布,2
9248,通宵熬夜后的第二天会袭来的是什么？,感冒,徒劳感,疾病,困意,后悔,3
9249,收纳寝具的空间是？,工厂,碗柜,壁橱,衣柜,冰箱,2
9250,从宇宙看去是蓝色而且圆的星球是？,大洋洲,生物,动物,美国,地球,4
9251,故意夺去他人生命的行为是？,挑起战争,防御,盗垒,贡献,杀害,4
9252,在学校课程中，主要学习汉字和文章的科目是？,算术,作物,交流,国语,语言,3
9253,创作并吟诵诗歌的人是？,蘑菇,风筝,落伍者,游手好闲的人,诗人,4
9254,在祭典上进行的、有中奖和没中奖之分的活动是什么？,阿弥陀签,彩票,模具切割,捞金鱼,抽签,4
9255,表示“家人”含义的词是？,小姐（Mademoiselle）,家庭（Family）,朋友（Friends）,宠物,葡萄酒,1
